ESPH1705148347 ESPH1704373126 USAM0071494672
USAM0071494672 USAH0069058395 840M3006972816
840M3006972816 USAH0062784081 USAM0139005002
USAM0139005002 USAH0061319723 USAM0131823833
USAM0131823833 USAH0128824973 USAM0002294436
USAM0002294436 USAH0014854001 USAM0002071864
USAM0002071864 USAH0012365669 USAM0001879085
USAM0001879085 USAH0010192628 USAM0001682485
USAM0001682485 USAH0006571518 USAM0001491007
USAM0001491007 USAH0005749758 USAM0001271810
USAM0001271810 USAH0003348181 USAM0001013415
USAM0001013415 USAH0002454577 USAM0000933122
USAM0000933122 USAH0002257335 USAM0000819476
USAM0000819476 00000000000000 USAM0000697789
USAM0000697789 USAH0000978721 USAM0000661323
USAM0000661323 00000000000000 00000000000000
USAH0000978721 00000000000000 00000000000000
USAH0002257335 00000000000000 00000000000000
USAH0002454577 USAH0002137139 USAM0000819476
USAH0002137139 00000000000000 00000000000000
USAH0003348181 USAH0002948518 USAM0001013415
USAH0002948518 USAH0002305127 USAM0000909839
USAM0000909839 USAH0002104304 USAM0000758103
USAM0000758103 00000000000000 00000000000000
USAH0002104304 00000000000000 00000000000000
USAH0002305127 00000000000000 00000000000000
USAH0005749758 USAH0004855614 USAM0001189870
USAM0001189870 USAH0002471271 USAM0000848777
USAM0000848777 USAH0001884404 CANM0000135962
CANM0000135962 CANH0000358645 CANM0000115346
CANM0000115346 CANH0000210109 CANM0000107552
CANM0000107552 CANH0000144280 CANM0000095679
CANM0000095679 CANH0000184725 CANM0000067919
CANM0000067919 USAH0000504028 USAM0000206883
USAM0000206883 USAH0000227946 00000000000000
USAH0000227946 00000000000000 00000000000000
USAH0000504028 USAH0000186067 USAM0000124358
USAM0000124358 00000000000000 00000000000000
USAH0000186067 00000000000000 00000000000000
CANH0000184725 USAH0000710926 USAM0000294182
USAM0000294182 00000000000000 00000000000000
USAH0000710926 00000000000000 00000000000000
CANH0000144280 00000000000000 00000000000000
CANH0000210109 CANH0000144280 CANM0000060995
CANM0000060995 00000000000000 USAM0000313447
USAM0000313447 00000000000000 00000000000000
CANH0000358645 00000000000000 CANM0000105420
CANM0000105420 CANH0000224761 CANM0000095679
CANH0000224761 00000000000000 00000000000000
USAH0001884404 USAH0001381388 CANM0000090614
CANM0000090614 CANH0000108387 CANM0000067919
CANH0000108387 CANH0000063952 CANM0000040975
CANM0000040975 CANH0000008784 CANM0000031828
CANM0000031828 00000000000000 00000000000000
CANH0000008784 00000000000000 00000000000000
CANH0000063952 CANH0000031454 CANM0000029540
CANM0000029540 00000000000000 00000000000000
CANH0000031454 00000000000000 00000000000000
USAH0001381388 USAH0000867344 USAM0000370387
USAM0000370387 00000000000000 00000000000000
USAH0000867344 00000000000000 00000000000000
USAH0002471271 USAH0002223249 USAM0000823055
USAM0000823055 USAH0001934438 USAM0000729449
USAM0000729449 USAH0001481298 USAM0000623972
USAM0000623972 00000000000000 00000000000000
USAH0001481298 00000000000000 00000000000000
USAH0001934438 USAH0001342260 USAM0000500000
USAM0000500000 00000000000000 00000000000000
USAH0001342260 00000000000000 00000000000000
USAH0002223249 USAH0002004149 USAM0000759193
USAM0000759193 USAH0001469850 USAM0000671310
USAM0000671310 00000000000000 00000000000000
USAH0001469850 00000000000000 00000000000000
USAH0002004149 USAH0001874398 USAM0000743901
USAM0000743901 00000000000000 00000000000000
USAH0001874398 00000000000000 00000000000000
USAH0004855614 USAH0003757944 CANM0000257221
CANM0000257221 CANH0000723716 CANM0000239301
