RegistroGenealogico Media cg287646953_BC21 cg287647051_BC21 cg287647433_TC11 Avg
ESPH1705148345 1 0.9224134 0.8825526 0.9731432 0.630736899473446
ESPH1705148346 1 0.8899919 0.8782373 0.9725764 0.630028004897213
ESPH1705148347 1 0.8754632 0.8670735 0.9699857 0.628727936466077
ESPH1705148348 1 0.8119887 0.9189333 0.9679247 0.623490906312138
ESPH1705148349 1 0.8952579 0.8350311 0.9733624 0.631700087622374
ESPH1705148350 1 0.8952070 0.8720939 0.9744050 0.635200107092283
ESPH1705148351 1 0.8969995 0.8250736 0.9697287 0.619385827612353
ESPH1705148352 1 0.8883478 0.8729160 0.9686521 0.62725468377567
ESPH1705149188 1 0.9149211 0.8664006 0.9780517 0.624115616061683
ESPH1705149189 1 0.8851188 0.8706396 0.9743845 0.624095730304555
ESPH1705149190 1 0.8768724 0.9052353 0.9692303 0.604671745362513
ESPH1705149192 1 0.9012026 0.8816165 0.9687110 0.623100709320391
ESPH1705149193 1 0.9211943 0.8459595 0.9725162 0.62493852693403
ESPH1705149194 1 0.8707160 0.8405205 0.9730753 0.610977814359539
ESPH1705149197 1 0.9058751 0.8770288 0.9713377 0.62880035525343
ESPH1705149195 1 0.8836728 0.9022727 0.9748521 0.62592523841246
ESPH1705149763 1 0.9047551 0.8679730 0.9717761 0.632243135082583
ESPH1705149765 1 0.8722614 0.8866610 0.9727431 0.609364678721999
ESPH1705149766 1 0.8865519 0.8502780 0.9724460 0.627884033283012
ESPH1705149768 1 0.8592402 0.8927215 0.9749958 0.609256726128215
ESPH1705149769 1 0.8816930 0.8416394 0.9726374 0.627990247151393
ESPH1705149771 1 0.8918946 0.9311027 0.9680181 0.633968006821919
ESPH1705150322 1 0.8912346 0.9194660 0.9778388 0.624593091869882
ESPH1705149774 1 0.9066158 0.8213910 0.9743565 0.623312223078644
ESPH1705149773 1 0.9244762 0.8942893 0.9742551 0.629294214801233
ESPH1705150323 1 0.8918759 0.8753812 0.9707609 0.616013357233601
ESPH1705150324 1 0.8591537 0.8702024 0.9763122 0.620499359189791
ESPH1705150325 1 0.7918932 0.8995325 0.9722723 0.612929291930573
ESPH1705150326 1 0.8959631 0.8524548 0.9735109 0.628881779338451
ESPH1705150327 1 0.8725635 0.9213967 0.9727146 0.631322356327519
ESPH1705150816 1 0.8807209 0.9297006 0.9726267 0.631012754804903
ESPH1705150817 1 0.8907059 0.8548041 0.9739274 0.618154332762862
ESPH1705150819 1 0.9144583 0.9025333 0.9685986 0.622912058240327
ESPH1705150820 1 0.8687024 0.8794258 0.9752290 0.613705841785129
ESPH1705150821 1 0.9047309 0.9255814 0.9727118 0.626620768823392
ESPH1705150823 1 0.9134904 0.8768602 0.9724104 0.636862135881833
ESPH1705150824 1 0.8905476 0.8986544 0.9745788 0.631334593083065
ESPH1705150825 1 0.9013853 0.8812056 0.9743789 0.613664950809968
ESPH1705212683 1 0.8722434 0.8887968 0.9753262 0.627679033303108
ESPH1705212684 1 0.8813646 0.9139343 0.9719134 0.625449819238773
ESPH1705212682 1 0.8680796 0.8663530 0.9681386 0.625568981686844
ESPH1705212681 1 0.8542409 0.8526668 0.9749111 0.621871538920552
ESPH1705212685 1 0.8761972 0.9149883 0.9743067 0.620850162174598
ESPH1705212688 1 0.8965303 0.8793057 0.9721014 0.634604367515273
ESPH1705212689 1 0.8759406 0.9011309 0.9724648 0.62563634066589
ESPH1705212691 1 0.8821985 0.8801289 0.9743874 0.614947016906056
ESPH1705212692 1 0.8836856 0.8454258 0.9758436 0.625923149049035
ESPH1705212694 1 0.8812442 0.8368592 0.9714885 0.626136777499169
ESPH1705212695 1 0.8994490 0.8854891 0.9727482 0.628536090631726
ESPH1705212696 1 0.8972468 0.9046468 0.9761851 0.625753555810129
ESPH1705212697 1 0.8939728 0.9046677 0.9747762 0.630749510517551
ESPH1705212699 1 0.8917528 0.8842214 0.9712766 0.611948239476956
ESPH1705212702 1 0.8925869 0.7550369 0.9709146 0.615533541004689
ESPH1705212703 1 0.8885816 0.8752374 0.9766454 0.633904947917819
ESPH1705212704 1 0.8895468 0.8637586 0.9762818 0.628051919813612
ESPH1705214525 1 0.8919648 0.9188369 0.9733094 0.622894129512272
ESPH1705214528 1 0.8867135 0.8894014 0.9791268 0.635020073167631
ESPH1705214529 1 0.8861809 0.8554693 0.9761175 0.624989369752572
ESPH1705214532 1 0.9050990 0.8644232 0.9749889 0.630683264310798
ESPH1705214533 1 0.9032642 0.9185309 0.9742768 0.630147877174062
ESPH1705214535 1 0.8756743 0.9094839 0.9744172 0.632242556564952
ESPH1705214536 1 0.8984562 0.8504040 0.9751847 0.629509605737808
ESPH1705214537 1 0.8795499 0.9054055 0.9795987 0.628738161479207
ESPH1705214540 1 0.8874570 0.8592350 0.9759403 0.628344794031136
ESPH1705214543 1 0.9034698 0.8868361 0.9772511 0.623352441442256
ESPH1705214546 1 0.8813578 0.9050213 0.9785913 0.627158977189657
ESPH1705214547 1 0.8924911 0.9189927 0.9771577 0.633094234931752
ESPH1705214549 1 0.9103990 0.8396153 0.9781514 0.633480803652358
ESPH1705214550 1 0.8970297 0.8628664 0.9777695 0.637625376775054
ESPH1705214551 1 0.8518984 0.9085174 0.9775878 0.631662756725241
ESPH1705214552 1 0.8683489 0.8907845 0.9678138 0.622369790610423
ESPH1705214553 1 0.8834936 0.9154103 0.9769955 0.62998388936538
ESPH1705214554 1 0.9119155 0.9057889 0.9812231 0.635961485976313
ESPH1705214555 1 0.8486072 0.8967432 0.9755359 0.619952651205761
ESPH1705214559 1 0.9147890 0.9039175 0.9834947 0.629635303550563
ESPH1705214560 1 0.9064869 0.8929715 0.9825129 0.628850015749812
ESPH1705214556 1 0.8805565 0.8981804 0.9771004 0.632601730285745
ESPH1705214557 1 0.9129895 0.8500934 0.9748865 0.625658531176769
ESPH1705214558 1 0.8905511 0.8927105 0.9792027 0.63459651186538
ESPH1705214562 1 0.9118993 0.8762501 0.9794592 0.638095350220579
ESPH1705215791 1 0.9063605 0.7749705 0.9863348 0.621525056697026
ESPH1705215792 1 0.9103940 0.8900944 0.9783845 0.630822005626501
ESPH1705215793 1 0.8738507 0.8058794 0.9757236 0.621225938313826
ESPH1705215795 1 0.9088703 0.8469358 0.9684746 0.621841753182503
ESPH1705215796 1 0.8894420 0.8873210 0.9725940 0.61897568785493
ESPH1705215798 1 0.9409632 0.9480785 0.9845389 0.632401542345043
ESPH1705215799 1 0.9189176 0.8873851 0.9836570 0.622358777975991
ESPH1705215803 1 0.9080280 0.7686608 0.9710220 0.615543980042926
ESPH1705215806 1 0.9061586 0.8152092 0.9729215 0.610895652707449
ESPH1705215804 1 0.8860124 0.8363221 0.9751201 0.621019499478189
ESPH1705215805 1 0.8842778 0.8278147 0.9731785 0.614042743866747
ESPH1705215807 1 0.8664245 0.9156225 0.9711780 0.618045215228858
ESPH1705215808 1 0.8948765 0.8479612 0.9734795 0.610517201978055
ESPH1705215811 1 0.8197174 0.8611508 0.9658707 0.61104797068044
ESPH1705215813 1 0.8963642 0.8783762 0.9730677 0.618817810719319
ESPH1705215814 1 0.8994490 0.8705669 0.9741897 0.61934933399992
ESPH1705215815 1 0.8915789 0.8624644 0.9718377 0.610064672432476
ESPH1705215816 1 0.9116901 0.8749929 0.9738116 0.610475513016372
ESPH1705215817 1 0.9052617 0.9209818 0.9842191 0.639678557060557
ESPH1705215819 1 0.9106471 0.8945305 0.9857492 0.635046676539711
ESPH1705215820 1 0.8872735 0.7984893 0.9684042 0.619737943222106
ESPH1705215821 1 0.8853611 0.8475239 0.9746936 0.621403242403617
ESPH1705215822 1 0.9017320 0.8629207 0.9785818 0.623230915199009
